epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,22684.7,0.68443,1.34926,1.29169,0.8835,0.89863,0.94089,0.85357,0.45149,0.91902,1.1011,0.0001624,0.0001624,0.0001624
62,23053.2,0.71705,1.35399,1.29586,0.801,0.93165,0.94026,0.85605,0.44887,0.95202,1.09822,0.00015844,0.00015844,0.00015844
63,23421.6,0.69019,1.30727,1.29126,0.95805,0.85485,0.96327,0.86551,0.47434,0.89694,1.13156,0.00015448,0.00015448,0.00015448
64,23791.1,0.675,1.27441,1.28409,0.87284,0.9214,0.96293,0.86865,0.4632,0.86609,1.11571,0.00015052,0.00015052,0.00015052
65,24161.1,0.67852,1.29701,1.2832,0.84227,0.90896,0.92158,0.8324,0.456,0.94974,1.10528,0.00014656,0.00014656,0.00014656
66,24531.4,0.66687,1.27121,1.27097,0.88072,0.93283,0.96747,0.87726,0.46425,0.8692,1.1166,0.0001426,0.0001426,0.0001426
67,24905.1,0.67706,1.28249,1.27924,0.94449,0.86833,0.95783,0.86721,0.46183,0.86635,1.11518,0.00013864,0.00013864,0.00013864
68,25275.5,0.65708,1.21211,1.25952,0.91495,0.94401,0.97595,0.88081,0.46183,0.79691,1.11641,0.00013468,0.00013468,0.00013468
69,25647.8,0.65455,1.21108,1.25308,0.92182,0.92351,0.96832,0.8798,0.45298,0.80331,1.10549,0.00013072,0.00013072,0.00013072
70,26018.6,0.67629,1.21042,1.28784,0.88978,0.9484,0.97797,0.88323,0.46541,0.78707,1.12053,0.00012676,0.00012676,0.00012676
71,26392.9,0.66125,1.19632,1.26244,0.87408,0.97175,0.97562,0.88604,0.44859,0.77994,1.0983,0.0001228,0.0001228,0.0001228
72,26764.5,0.66048,1.18647,1.26656,0.90894,0.92566,0.97096,0.89031,0.43441,0.80777,1.08337,0.00011884,0.00011884,0.00011884
73,27136,0.63683,1.18355,1.25258,0.85868,0.9503,0.97064,0.88981,0.43505,0.81651,1.08299,0.00011488,0.00011488,0.00011488
74,27509.3,0.66201,1.20675,1.27669,0.90459,0.92696,0.97535,0.89156,0.4412,0.81338,1.08811,0.00011092,0.00011092,0.00011092
75,27881.8,0.64619,1.17858,1.2472,0.92961,0.94619,0.98421,0.90577,0.42901,0.73303,1.0779,0.00010696,0.00010696,0.00010696
76,28254.2,0.64962,1.16179,1.25014,0.90905,0.98419,0.9869,0.89603,0.45367,0.75543,1.10477,0.000103,0.000103,0.000103
77,28627.3,0.64817,1.13252,1.24791,0.91369,0.98114,0.98428,0.89835,0.43774,0.72506,1.08858,9.904e-05,9.904e-05,9.904e-05
78,29000.1,0.60671,1.13689,1.22362,0.9318,0.9784,0.98484,0.9037,0.43384,0.71459,1.08811,9.508e-05,9.508e-05,9.508e-05
79,29373.1,0.63082,1.11447,1.23278,0.90387,0.97506,0.98802,0.9048,0.43672,0.72236,1.08273,9.112e-05,9.112e-05,9.112e-05
80,29748.3,0.64111,1.11644,1.24469,0.92429,0.98309,0.98972,0.90642,0.43509,0.67904,1.08354,8.716e-05,8.716e-05,8.716e-05
81,30121.5,0.64557,1.10525,1.24374,0.91044,0.97459,0.98122,0.90229,0.435,0.69172,1.08273,8.32e-05,8.32e-05,8.32e-05
82,30493.2,0.64241,1.11452,1.23902,0.90256,0.96644,0.98609,0.90935,0.42834,0.68656,1.07244,7.924e-05,7.924e-05,7.924e-05
83,30865.1,0.59986,1.07618,1.21144,0.93678,0.98197,0.99203,0.90597,0.43255,0.65029,1.08122,7.528e-05,7.528e-05,7.528e-05
84,31236.6,0.64464,1.08784,1.24292,0.92601,0.96124,0.98083,0.89591,0.4368,0.70227,1.08846,7.132e-05,7.132e-05,7.132e-05
85,31609,0.62942,1.06051,1.22892,0.95154,0.97498,0.99186,0.91303,0.42781,0.65867,1.07585,6.736e-05,6.736e-05,6.736e-05
86,31980.8,0.62913,1.06954,1.22606,0.91113,0.97973,0.98781,0.91079,0.41883,0.67455,1.06973,6.34e-05,6.34e-05,6.34e-05
87,32352.6,0.60748,1.03103,1.21014,0.93647,0.96792,0.99165,0.91323,0.42644,0.64689,1.07103,5.944e-05,5.944e-05,5.944e-05
88,32724,0.61737,1.02878,1.21246,0.92745,0.96837,0.98667,0.90765,0.41909,0.65904,1.07013,5.548e-05,5.548e-05,5.548e-05
89,33096,0.60397,1.03507,1.21612,0.9442,0.97628,0.99147,0.9124,0.4171,0.64355,1.06779,5.152e-05,5.152e-05,5.152e-05
90,33470.5,0.60698,1.02911,1.20867,0.95008,0.98362,0.99247,0.91446,0.41816,0.63189,1.06712,4.756e-05,4.756e-05,4.756e-05
91,33844.2,0.47863,0.84391,1.13293,0.94359,0.9717,0.98966,0.90302,0.43252,0.69827,1.07027,4.36e-05,4.36e-05,4.36e-05
92,34217.6,0.4585,0.80635,1.13178,0.95265,0.98732,0.9912,0.91381,0.41951,0.63342,1.05391,3.964e-05,3.964e-05,3.964e-05
93,34601,0.449,0.76875,1.11871,0.96358,0.98747,0.99318,0.91519,0.42219,0.62392,1.05643,3.568e-05,3.568e-05,3.568e-05
94,34962,0.44965,0.73728,1.11684,0.96683,0.98117,0.99316,0.91823,0.41712,0.60874,1.05186,3.172e-05,3.172e-05,3.172e-05
95,35336.4,0.43776,0.73899,1.1185,0.9628,0.99004,0.99283,0.91566,0.41693,0.59893,1.04842,2.776e-05,2.776e-05,2.776e-05
96,35695,0.4384,0.71763,1.09652,0.96108,0.98796,0.9928,0.91515,0.41668,0.59813,1.04819,2.38e-05,2.38e-05,2.38e-05
97,36052.6,0.42636,0.70724,1.11888,0.96006,0.99151,0.99317,0.91769,0.41579,0.58862,1.04767,1.984e-05,1.984e-05,1.984e-05
98,36428.4,0.43566,0.68858,1.10892,0.96423,0.99277,0.99386,0.9179,0.41082,0.58314,1.04267,1.588e-05,1.588e-05,1.588e-05
99,36813.4,0.43812,0.69256,1.0878,0.97229,0.99222,0.99398,0.91959,0.40907,0.5776,1.0403,1.192e-05,1.192e-05,1.192e-05
100,37225.7,0.42085,0.66869,1.07124,0.97072,0.99096,0.99392,0.91764,0.4076,0.57438,1.04013,7.96e-06,7.96e-06,7.96e-06
