epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.237,2.94184,4.95585,4.21847,0,0,0,0,1.955,5.13091,4.12331,0.00012973,0.00012973,0.00012973
2,822.375,2.86295,4.87942,4.15338,0,0,0,0,1.88957,5.14022,3.94506,0.000176252,0.000176252,0.000176252
3,1210.62,2.91849,4.85741,4.10884,7e-05,0.05,0.00036,0.00014,1.8174,5.13832,3.71495,0.000134775,0.000134775,0.000134775
