epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,11826.4,0.90237,2.21796,1.59246,0.50416,0.74647,0.68072,0.60319,0.52394,2.16349,1.21891,0.00017032,0.00017032,0.00017032
31,12172.7,0.90391,2.17355,1.59147,0.5144,0.71035,0.64682,0.5686,0.54878,2.13893,1.23658,0.0001624,0.0001624,0.0001624
32,12519.4,0.88331,2.09499,1.57485,0.60547,0.72031,0.69722,0.61514,0.55362,2.05363,1.23719,0.00015448,0.00015448,0.00015448
33,12865.6,0.87951,2.14518,1.55868,0.61393,0.62309,0.63734,0.56337,0.54377,2.0883,1.21843,0.00014656,0.00014656,0.00014656
34,13210.8,0.86961,2.07929,1.56544,0.59275,0.69634,0.68278,0.60015,0.56469,2.04134,1.24455,0.00013864,0.00013864,0.00013864
35,13556,0.83952,2.0536,1.52948,0.70581,0.59629,0.68696,0.60314,0.54215,2.04062,1.21327,0.00013072,0.00013072,0.00013072
36,13902,0.85091,2.06366,1.53973,0.73143,0.65869,0.7469,0.66603,0.52556,1.89885,1.21661,0.0001228,0.0001228,0.0001228
37,14246.3,0.8363,2.03895,1.53617,0.53617,0.71919,0.7344,0.65337,0.5178,1.96084,1.19015,0.00011488,0.00011488,0.00011488
38,14594.2,0.82695,2.00471,1.54221,0.70386,0.65765,0.73829,0.64935,0.54219,1.89314,1.20971,0.00010696,0.00010696,0.00010696
39,14942.8,0.82831,1.99108,1.50363,0.75135,0.67451,0.75032,0.66313,0.53106,1.92744,1.20236,9.904e-05,9.904e-05,9.904e-05
40,15311.8,0.80297,1.94365,1.49784,0.78951,0.63187,0.75253,0.66987,0.5183,1.83124,1.2016,9.112e-05,9.112e-05,9.112e-05
41,15671,0.58965,2.1116,1.34419,0.65445,0.68082,0.71815,0.64088,0.51578,2.10295,1.20238,8.32e-05,8.32e-05,8.32e-05
42,16014.8,0.54239,2.02997,1.27927,0.75722,0.69976,0.7754,0.69839,0.48524,1.83451,1.15902,7.528e-05,7.528e-05,7.528e-05
43,16358.1,0.52992,1.89409,1.26091,0.59986,0.79362,0.79853,0.71721,0.4869,1.77337,1.15402,6.736e-05,6.736e-05,6.736e-05
44,16701.6,0.53636,1.84047,1.2778,0.72822,0.76399,0.81379,0.72973,0.49292,1.67501,1.15698,5.944e-05,5.944e-05,5.944e-05
45,17043.7,0.51543,1.79369,1.22779,0.81406,0.71584,0.84421,0.76532,0.47611,1.58642,1.12824,5.152e-05,5.152e-05,5.152e-05
46,17390.5,0.52776,1.76888,1.24986,0.7683,0.76264,0.83592,0.75711,0.47751,1.58539,1.13965,4.36e-05,4.36e-05,4.36e-05
47,17734.4,0.51358,1.75009,1.23634,0.72343,0.79812,0.84991,0.76599,0.48024,1.53485,1.14484,3.568e-05,3.568e-05,3.568e-05
48,18076.8,0.50563,1.69304,1.2269,0.76486,0.75947,0.84332,0.76784,0.46577,1.55633,1.124,2.776e-05,2.776e-05,2.776e-05
49,18419.5,0.49382,1.69935,1.19342,0.78007,0.7921,0.86391,0.78677,0.45889,1.49146,1.11646,1.984e-05,1.984e-05,1.984e-05
50,18763,0.4942,1.63346,1.20304,0.81435,0.77368,0.88233,0.80437,0.45697,1.45029,1.11558,1.192e-05,1.192e-05,1.192e-05
