epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.102,2.94184,4.95585,4.21847,0,0,0,0,1.955,5.13091,4.12331,0.00012973,0.00012973,0.00012973
2,859.527,2.86361,4.87274,4.14567,0,0,0,0,1.86227,5.14196,3.88099,0.000257854,0.000257854,0.000257854
3,1410.04,2.89881,4.83039,4.05695,0.0003,0.13269,0.00322,0.00086,1.81476,5.10988,3.51587,0.000380699,0.000380699,0.000380699
4,1858.06,2.84771,4.71562,3.90042,0.0043,0.41204,0.01301,0.0033,1.86672,5.30105,2.99292,0.00037624,0.00037624,0.00037624
5,2256.95,2.73499,4.57222,3.64869,0.87204,0.04552,0.05795,0.02209,1.93869,5.19184,2.87891,0.00036832,0.00036832,0.00036832
6,2667.02,2.52001,4.34803,3.40574,0.68781,0.12001,0.09586,0.04602,1.74971,11.2309,2.7522,0.0003604,0.0003604,0.0003604
7,3063.45,2.32224,4.08832,3.166,0.33305,0.26635,0.10789,0.06564,1.42637,6.75355,2.57102,0.00035248,0.00035248,0.00035248
8,3450.72,2.14701,3.83952,2.90799,0.25302,0.38089,0.17082,0.09376,1.29804,4.41396,2.32676,0.00034456,0.00034456,0.00034456
9,3838.1,1.94829,3.6169,2.76282,0.29521,0.2119,0.17719,0.11927,1.13154,3.59105,2.2211,0.00033664,0.00033664,0.00033664
10,4220.61,1.82317,3.46244,2.58215,0.22918,0.56803,0.25203,0.1711,1.06964,5.0233,1.95676,0.00032872,0.00032872,0.00032872
11,4606.31,1.7188,3.32253,2.47216,0.20355,0.64268,0.32814,0.24342,0.93677,3.33057,1.76695,0.0003208,0.0003208,0.0003208
12,5061.33,1.55025,3.08263,2.33136,0.2235,0.56764,0.30542,0.228,0.84722,3.14476,1.76356,0.00031288,0.00031288,0.00031288
13,5460.28,1.43738,2.9962,2.20412,0.19674,0.60947,0.30895,0.2382,0.80612,2.971,1.60202,0.00030496,0.00030496,0.00030496
14,5888.06,1.35524,2.8672,2.11163,0.17683,0.68343,0.32574,0.25246,0.76763,2.99868,1.54971,0.00029704,0.00029704,0.00029704
15,6264.62,1.29757,2.85074,2.046,0.29258,0.58305,0.38342,0.28007,0.89965,3.03008,1.65498,0.00028912,0.00028912,0.00028912
16,6646.46,1.22519,2.71749,1.98682,0.28474,0.71179,0.40503,0.32123,0.75941,3.03923,1.50925,0.0002812,0.0002812,0.0002812
17,7028.09,1.18717,2.65246,1.95828,0.21565,0.7096,0.37499,0.30045,0.73998,2.62088,1.52532,0.00027328,0.00027328,0.00027328
18,7503.63,1.14677,2.64045,1.91331,0.32808,0.68574,0.43821,0.36495,0.67514,2.55095,1.44254,0.00026536,0.00026536,0.00026536
19,7918.53,1.14638,2.57252,1.87013,0.37976,0.67696,0.43846,0.35889,0.69998,2.56962,1.4366,0.00025744,0.00025744,0.00025744
20,8314.07,1.09127,2.52723,1.82628,0.36675,0.73016,0.46957,0.38787,0.69199,2.60653,1.47169,0.00024952,0.00024952,0.00024952
21,8696.94,1.08537,2.48278,1.81618,0.39622,0.64614,0.45929,0.39007,0.60807,2.5184,1.34431,0.0002416,0.0002416,0.0002416
22,9062.13,1.0521,2.41577,1.77248,0.34927,0.78727,0.44907,0.37573,0.64672,2.43998,1.38191,0.00023368,0.00023368,0.00023368
23,9408.31,1.01671,2.38646,1.73247,0.3617,0.69168,0.49528,0.42741,0.58881,2.46733,1.31084,0.00022576,0.00022576,0.00022576
24,9753.58,0.97307,2.35103,1.704,0.41214,0.74628,0.54888,0.47052,0.63302,2.41524,1.3654,0.00021784,0.00021784,0.00021784
25,10098.9,0.98732,2.33689,1.71029,0.5597,0.61802,0.57324,0.48997,0.59943,2.31046,1.29397,0.00020992,0.00020992,0.00020992
26,10445.2,0.95453,2.2277,1.65483,0.56266,0.62042,0.5716,0.49268,0.59689,2.33411,1.30984,0.000202,0.000202,0.000202
27,10790,0.92469,2.25403,1.64405,0.42792,0.75784,0.59659,0.51893,0.561,2.23027,1.24631,0.00019408,0.00019408,0.00019408
28,11134.8,0.92616,2.21611,1.63553,0.49209,0.70945,0.60552,0.52484,0.5839,2.31689,1.288,0.00018616,0.00018616,0.00018616
29,11480.6,0.9157,2.16493,1.61724,0.43221,0.74824,0.62605,0.53816,0.58145,2.19314,1.26977,0.00017824,0.00017824,0.00017824
