epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.714,2.94184,4.95585,4.21847,0,0,0,0,1.955,5.13091,4.12331,0.00012973,0.00012973,0.00012973
2,779.32,2.86361,4.87274,4.14567,0,0,0,0,1.86227,5.14196,3.88099,0.000257854,0.000257854,0.000257854
3,1153.66,2.89881,4.83039,4.05695,0.0003,0.13269,0.00322,0.00086,1.81476,5.10988,3.51587,0.000380699,0.000380699,0.000380699
4,1539.94,2.84771,4.71562,3.90042,0.0043,0.41204,0.01301,0.0033,1.86672,5.30105,2.99292,0.00037624,0.00037624,0.00037624
5,1929.06,2.73499,4.57222,3.64869,0.87204,0.04552,0.05795,0.02209,1.93869,5.19184,2.87891,0.00036832,0.00036832,0.00036832
6,2330.65,2.52001,4.34803,3.40574,0.68781,0.12001,0.09586,0.04602,1.74971,11.2309,2.7522,0.0003604,0.0003604,0.0003604
